Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
778,PRIMARY HEALTH CENTER  AMARAPUR,JUNAGADH,AMARAPUR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
779,PRIMARY HEALTH CENTER  BAGASARA GHED,JUNAGADH,BAGASARA GHED," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
780,PRIMARY HEALTH CENTER  BALAGAM,JUNAGADH,BALAGAM," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
781,PRIMARY HEALTH CENTER  BANTVA,JUNAGADH,BANTVA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
782,PRIMARY HEALTH CENTER  BHANDURI,JUNAGADH,BHANDURI," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
783,PRIMARY HEALTH CENTER  CHUDA,JUNAGADH,CHUDA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
784,PRIMARY HEALTH CENTER  DATRANA,JUNAGADH,DATRANA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
785,PRIMARY HEALTH CENTER  GADU,JUNAGADH,GADU," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
786,PRIMARY HEALTH CENTER  KANZA,JUNAGADH,KANZA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
787,PRIMARY HEALTH CENTER  KEVADRA,JUNAGADH,KEVADRA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
788,PRIMARY HEALTH CENTER  KHADIYA,JUNAGADH,KHADIYA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
789,PRIMARY HEALTH CENTER  KHORASA,JUNAGADH,KHORASA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
790,PRIMARY HEALTH CENTER  KUKASVADA,JUNAGADH,KUKASVADA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
791,PRIMARY HEALTH CENTER  LIMBUDA,JUNAGADH,LIMBUDA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
792,PRIMARY HEALTH CENTER  MENDPARA,JUNAGADH,MENDPARA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
793,PRIMARY HEALTH CENTER  MESWAN,JUNAGADH,MESWAN," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
794,PRIMARY HEALTH CENTER  RANPUR,JUNAGADH,RANPUR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
795,PRIMARY HEALTH CENTER  SHAPUR,JUNAGADH,SHAPUR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
796,PRIMARY HEALTH CENTER  SHIL,JUNAGADH,SHIL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
797,PRIMARY HEALTH CENTER  THANAPIPLI,JUNAGADH,THANAPIPLI," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
798,PRIMARY HEALTH CENTER  VADAL,JUNAGADH,VADAL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
799,REFERAL HOSPITAL AND C.H.C.,JUNAGADH,"Sasan Road,"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
800,U-PHC U-PHC Keshod,JUNAGADH,"Urban Helath Center Keshod, Air Port Road, B/H.Parishram School, Keshod - 362220"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
801,U-PHC U-PHC Mangrol,JUNAGADH,"Govt. Quarter No.4, Nr. Taluka Health Office, Secretary Road, Mangrol - 362225"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
802,CHC ANJAR,KACHCHH,Vijay Nagar Area Mundra Road Anjar," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
803,CHC KHAVDA,KACHCHH,Samuhik Arogya Kendra Khavda," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
804,CHC MUNDRA,KACHCHH,Old Port Road Mundra," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
805,CHC Nakhatrana,KACHCHH,Community Health Center Nakhatrana Kutch," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
806,CHC Rambag,KACHCHH,Rambag Road Adipur," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
807,CHC RAPAR,KACHCHH,Kelari Road Nadasa Road Rapar," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
808,Community Health Centre Mandvi,KACHCHH,"Layja Road, Mandvi","CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACKA
"
809,Primary Health centre Adesar,KACHCHH,Primary Health Center Adesar Venusar Road  Nation Hive Road  Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
811,Primary Health centre Amaradi,KACHCHH,"PHC Amardi, Ta:Bhachau,Dist:Kutch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
812,Primary Health centre Asambiya,KACHCHH,"GANGAJI ROAD,MAFATNAGAR,NANA ASMBIYA,PIN CODE-370485"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
813,Primary Health centre Balasar,KACHCHH,Primary Health Center Balasar   Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
814,Primary Health centre Baranda,KACHCHH,"baranda , ta- lakhpat "," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
815,Primary Health centre Bela,KACHCHH,Primary Health Center Bella  Near    Madhyamik School Bella Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
816,Primary Health centre BHADRESHWAR,KACHCHH,"Bhadreshwar , near Kumar Shara ,Pin Cod 370410"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
817,Primary Health centre Bhimasar,KACHCHH,Primary Health Center Bhimasar B  Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
818,Primary Health centre BHIMASAR (CH),KACHCHH,BHIMASAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
819,Primary Health centre Bhirandiyara,KACHCHH,phc bhirndiyara near praimary school," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
820,Primary Health centre BHUJPUR,KACHCHH,BHUJPUR BUS STAND MUNDRA PIN 370405," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
821,Primary Health centre CHANDRANI,KACHCHH,"chandrani, ta- anjar, kutch "," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
822,Primary Health centre Chitrod,KACHCHH,Primary Health Center Chitrod  New Chitrod  Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
823,Primary Health centre Dahisara,KACHCHH,DAHISARA NEAR HIGH SCHOOL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
824,Primary Health centre Darsadi,KACHCHH,"NEAR BUS STAND,DARSADI,PIN CODE-370445"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
825,Primary Health centre Deshalpar-G,KACHCHH,hajipir road deshalpar g," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
826,Primary Health centre Deshalpar-V,KACHCHH,PHC DESHLPAR VANDHAY ROAD BHUJ KUTCH," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
827,Primary Health centre Dhaneti,KACHCHH,"primari health center dhaneti, ratnal road, dhaneti"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
828,Primary Health centre Dhoravira,KACHCHH,"PHC Dhoravira, Ta:Bhachau,Dist:Kutch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
829,Primary Health centre Dinara,KACHCHH,"PHC DINARA,NEAR DHNADHI PATIYA,AT POST-KHAVDA TA-BHUJ DISTRICT- KUTCH"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
830,Primary Health centre dumra,KACHCHH,"Dumara, Ta - Abdasa, Dist - Kachchh"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
831,Primary Health centre Fatehgadhh,KACHCHH,Primary Health Center Hive Road Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
832,Primary Health centre Gagodar,KACHCHH,Primary Health Center Gagodar  national  Road  Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
833,Primary Health centre Gedi,KACHCHH,Primary Health Center Gedi   Desalpar Road Primary School Near Gedi  Ta.Rapar Dis.Kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
834,Primary Health centre Ghaduli,KACHCHH,"gadhuli, ta- lakhpat "," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
835,Primary Health centre Godhara,KACHCHH,"NEAR BUS STAND,GODHRA,PIN CODE-370450"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
836,Primary Health centre Gorewali,KACHCHH,phc gorevali bhuj kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
837,Primary Health centre Gundiyari,KACHCHH,"GUNDYALI-PIPRI ROAD,NEAR RAJBAI VADI,GUNDYALI,PIN CODE-370455"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
838,Primary Health centre Jakhau,KACHCHH,"Jakhau, Ta - Abdasa, Dist - Kachchh"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
839,Primary Health centre Jangi,KACHCHH,"PHC Jangi, Ta:Bhachau,Dist:Kutch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
840,Primary Health centre Junakataria,KACHCHH,"PHC Juna Katariya, Ta:Bhachau,Dist:Kutch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
841,Primary Health centre Kera,KACHCHH,phc kera bhuj kutch," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
842,Primary Health centre KHEDOI,KACHCHH,"KHEDOI, ta- anjar, kutch "," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
843,Primary Health centre Kidana,KACHCHH," primary health Center Kidana , Bhukamp Nagar Near Gayatri school (Tal Gandhidham)"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
844,Primary Health centre Koday,KACHCHH,"INDIRAVAS,BEHIND PRIMARY SCHOOL,PIN CODE-370460"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
845,Primary Health centre Kodki,KACHCHH,phc kodki village kodki bhuj," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
846,Primary Health centre Kothara,KACHCHH,"Kothara, Ta - Abdasa, Dist - Kachchh"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
847,Primary Health centre Kukma,KACHCHH,Jagruti Soci. Near Bus Satnd Bhuj Anjar Road KUKMA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
848,Primary Health centre M.KANDAGARA,KACHCHH,"Siracha Road, Vill, Mota Kandagara, Mundra Kutch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
849,Primary Health centre Madhapar,KACHCHH,PHC MADHAPAR LOCAL BOARD NEAR BUS STATION NAVAVAS MADHAPAR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
850,Primary Health centre Manfara,KACHCHH,"PHC Manfara, Ta:Bhachau,Dist:Kutch"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
851,Primary Health centre Mangvana,KACHCHH,bhuj -naliya road mangvana," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
852,Primary Health centre Matanamadh,KACHCHH,"Near ashapura tempale , matana madh, ta- lakhpat"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
